load_1_0,load_2_1,load_3_2,load_4_3,load_5_4,load_8_5,load_9_6,load_10_7,load_11_8,load_12_9,load_13_10
20.3,82.1,41.5,6.7,10.8,25.0,7.7,3.3,5.0,11.3,13.6
20.3,81.9,41.3,6.7,10.7,24.9,7.7,3.3,5.0,11.3,13.5
20.2,81.7,41.2,6.6,10.7,24.8,7.7,3.2,5.0,11.2,13.5
20.1,81.5,41.1,6.6,10.6,24.6,7.6,3.2,5.0,11.2,13.4
20.1,81.4,40.9,6.6,10.6,24.5,7.6,3.2,4.9,11.2,13.4
20.0,81.2,40.8,6.6,10.5,24.4,7.6,3.2,4.9,11.1,13.3
20.0,81.0,40.7,6.6,10.5,24.3,7.6,3.2,4.9,11.1,13.3
19.9,80.8,40.5,6.5,10.5,24.2,7.5,3.2,4.9,11.0,13.2
19.8,80.5,40.3,6.5,10.4,24.1,7.5,3.2,4.9,11.0,13.2
19.8,80.1,40.1,6.5,10.3,24.0,7.5,3.1,4.8,10.9,13.1
19.7,79.8,40.0,6.5,10.3,23.8,7.4,3.1,4.8,10.9,13.0
19.6,79.5,39.8,6.4,10.2,23.7,7.4,3.1,4.8,10.8,12.9
19.5,79.1,39.6,6.4,10.2,23.6,7.3,3.1,4.7,10.7,12.9
19.5,78.9,39.5,6.4,10.1,23.4,7.3,3.1,4.7,10.7,12.8
19.4,78.7,39.4,6.4,10.1,23.3,7.3,3.1,4.7,10.6,12.8
19.4,78.6,39.3,6.3,10.1,23.3,7.3,3.1,4.7,10.6,12.7
19.4,78.5,39.2,6.3,10.1,23.2,7.2,3.1,4.7,10.5,12.7
19.3,78.4,39.2,6.3,10.0,23.1,7.2,3.0,4.7,10.5,12.7
19.3,78.4,39.1,6.3,10.0,23.1,7.2,3.0,4.7,10.5,12.7
19.3,78.3,39.1,6.3,10.0,23.0,7.2,3.0,4.7,10.5,12.6
19.3,78.2,39.0,6.3,9.9,23.0,7.2,3.0,4.7,10.4,12.6
19.2,78.0,38.9,6.3,9.9,22.9,7.1,3.0,4.7,10.4,12.6
19.2,77.9,38.8,6.3,9.9,22.8,7.1,3.0,4.6,10.4,12.6
19.2,77.8,38.7,6.2,9.8,22.8,7.1,3.0,4.6,10.3,12.5
19.2,77.6,38.6,6.2,9.8,22.7,7.1,3.0,4.6,10.3,12.5
19.1,77.5,38.6,6.2,9.8,22.7,7.1,3.0,4.6,10.3,12.5
19.1,77.4,38.5,6.2,9.8,22.6,7.0,3.0,4.6,10.2,12.4
19.1,77.4,38.5,6.2,9.8,22.6,7.0,3.0,4.6,10.2,12.4
19.1,77.3,38.5,6.2,9.7,22.5,7.0,3.0,4.6,10.2,12.4
19.1,77.3,38.5,6.2,9.7,22.5,7.0,3.0,4.6,10.2,12.4
19.1,77.3,38.5,6.2,9.7,22.5,7.0,3.0,4.6,10.1,12.4
19.1,77.4,38.5,6.2,9.7,22.5,7.0,3.0,4.6,10.1,12.4
19.1,77.4,38.5,6.2,9.7,22.5,7.0,3.0,4.6,10.1,12.4
19.1,77.4,38.6,6.2,9.7,22.5,7.0,3.0,4.5,10.1,12.4
19.1,77.5,38.6,6.2,9.7,22.4,7.0,3.0,4.5,10.1,12.4
19.2,77.6,38.6,6.2,9.7,22.5,7.0,3.0,4.5,10.0,12.4
19.2,77.7,38.7,6.2,9.7,22.5,6.9,2.9,4.5,10.0,12.4
19.2,77.8,38.7,6.2,9.7,22.5,6.9,2.9,4.5,10.0,12.4
19.3,78.0,38.8,6.2,9.7,22.5,7.0,2.9,4.5,10.0,12.4
19.4,78.3,38.9,6.2,9.7,22.6,7.0,2.9,4.6,10.1,12.5
19.5,78.6,39.0,6.2,9.7,22.6,7.0,2.9,4.6,10.1,12.5
19.6,78.9,39.1,6.3,9.7,22.7,7.0,2.9,4.6,10.1,12.5
19.8,79.3,39.3,6.3,9.7,22.8,7.0,3.0,4.6,10.1,12.6
19.9,79.8,39.5,6.3,9.7,22.9,7.0,3.0,4.6,10.2,12.6
20.0,80.3,39.7,6.3,9.7,23.0,7.1,3.0,4.6,10.2,12.7
20.2,80.9,40.0,6.4,9.8,23.1,7.1,3.0,4.6,10.2,12.8
20.4,81.5,40.4,6.4,9.8,23.2,7.1,3.0,4.7,10.3,12.9
20.5,82.1,40.8,6.5,9.9,23.3,7.2,3.0,4.7,10.3,13.0
20.7,82.7,41.2,6.5,9.9,23.5,7.2,3.0,4.7,10.4,13.1
20.8,83.2,41.6,6.6,10.0,23.6,7.2,3.0,4.8,10.4,13.2
21.0,83.7,42.1,6.6,10.1,23.8,7.3,3.0,4.8,10.5,13.4
21.1,84.2,42.6,6.7,10.2,24.1,7.3,3.1,4.8,10.5,13.5
21.2,84.6,43.1,6.8,10.3,24.3,7.4,3.1,4.8,10.6,13.6
21.3,85.0,43.5,6.8,10.4,24.6,7.5,3.1,4.9,10.7,13.7
21.5,85.4,44.0,6.9,10.5,24.9,7.6,3.1,4.9,10.8,13.8
21.6,85.8,44.3,7.0,10.6,25.2,7.7,3.2,5.0,10.8,13.9
21.7,86.1,44.6,7.0,10.8,25.6,7.8,3.2,5.0,10.9,13.9
21.8,86.5,44.9,7.1,10.8,25.9,7.9,3.2,5.1,11.0,14.0
21.9,86.8,45.1,7.2,10.9,26.3,8.0,3.3,5.2,11.2,14.1
22.0,87.1,45.3,7.2,11.0,26.7,8.1,3.3,5.2,11.3,14.2
22.1,87.3,45.5,7.2,11.1,27.0,8.2,3.4,5.3,11.4,14.2
22.2,87.4,45.6,7.3,11.1,27.2,8.3,3.4,5.4,11.5,14.3
22.3,87.5,45.8,7.3,11.2,27.4,8.4,3.4,5.4,11.7,14.3
22.3,87.5,45.9,7.3,11.2,27.6,8.4,3.5,5.5,11.8,14.3
22.3,87.4,46.0,7.3,11.2,27.6,8.5,3.5,5.6,12.0,14.3
22.3,87.3,46.2,7.3,11.2,27.7,8.5,3.5,5.6,12.1,14.3
22.3,87.2,46.2,7.3,11.2,27.7,8.5,3.5,5.6,12.2,14.3
22.3,87.0,46.3,7.3,11.2,27.7,8.5,3.5,5.7,12.3,14.3
22.3,86.9,46.3,7.3,11.2,27.7,8.5,3.5,5.7,12.3,14.3
22.2,86.8,46.4,7.3,11.2,27.7,8.5,3.5,5.7,12.4,14.3
22.2,86.8,46.3,7.3,11.2,27.7,8.5,3.5,5.7,12.4,14.2
22.2,86.7,46.3,7.3,11.2,27.6,8.5,3.5,5.7,12.4,14.2
22.1,86.5,46.2,7.3,11.1,27.6,8.5,3.5,5.7,12.4,14.2
22.1,86.4,46.1,7.2,11.1,27.5,8.5,3.5,5.6,12.4,14.1
22.0,86.2,46.0,7.2,11.1,27.4,8.4,3.5,5.6,12.3,14.1
22.0,85.9,45.9,7.2,11.0,27.3,8.4,3.5,5.6,12.3,14.1
21.9,85.7,45.7,7.2,11.0,27.2,8.4,3.5,5.6,12.2,14.0
21.9,85.4,45.6,7.2,10.9,27.1,8.3,3.5,5.6,12.2,14.0
21.8,85.1,45.4,7.1,10.9,27.0,8.3,3.4,5.5,12.1,14.0
21.8,84.9,45.3,7.1,10.9,26.9,8.3,3.4,5.5,12.1,13.9
21.7,84.6,45.1,7.1,10.8,26.8,8.2,3.4,5.5,12.0,13.9
21.6,84.4,45.0,7.1,10.8,26.8,8.2,3.4,5.5,12.0,13.8
21.6,84.1,44.9,7.0,10.8,26.7,8.2,3.4,5.5,11.9,13.8
21.5,83.9,44.8,7.0,10.7,26.6,8.2,3.4,5.5,11.9,13.8
21.4,83.6,44.7,7.0,10.7,26.6,8.1,3.4,5.4,11.9,13.7
21.4,83.4,44.6,7.0,10.7,26.5,8.1,3.4,5.4,11.8,13.7
21.3,83.0,44.5,7.0,10.6,26.5,8.1,3.4,5.4,11.8,13.7
21.2,82.7,44.3,6.9,10.6,26.4,8.1,3.4,5.4,11.7,13.6
21.2,82.3,44.2,6.9,10.5,26.3,8.0,3.3,5.4,11.7,13.6
21.1,82.0,44.1,6.9,10.5,26.3,8.0,3.3,5.3,11.6,13.6
21.0,81.6,43.9,6.9,10.5,26.2,8.0,3.3,5.3,11.6,13.5
21.0,81.3,43.8,6.9,10.4,26.2,7.9,3.3,5.3,11.5,13.5
20.9,80.9,43.7,6.8,10.4,26.1,7.9,3.3,5.3,11.5,13.5
20.8,80.6,43.5,6.8,10.3,26.0,7.9,3.3,5.3,11.4,13.4
20.7,80.4,43.4,6.8,10.3,25.9,7.9,3.3,5.2,11.4,13.4
20.7,80.1,43.2,6.8,10.3,25.9,7.8,3.3,5.2,11.4,13.4
20.6,79.9,43.1,6.8,10.3,25.8,7.8,3.2,5.2,11.3,13.3
20.5,79.8,43.0,6.7,10.2,25.8,7.8,3.2,5.2,11.3,13.3
20.5,79.7,42.9,6.7,10.2,25.7,7.8,3.2,5.2,11.3,13.3
20.4,79.6,42.8,6.7,10.2,25.7,7.8,3.2,5.2,11.3,13.2
20.4,79.6,42.8,6.7,10.2,25.7,7.8,3.2,5.2,11.3,13.2
20.4,79.7,42.9,6.7,10.2,25.8,7.8,3.2,5.2,11.3,13.3
20.4,80.0,43.0,6.7,10.2,25.9,7.8,3.2,5.2,11.3,13.3
20.5,80.3,43.2,6.8,10.3,26.0,7.8,3.3,5.3,11.4,13.3
20.6,80.8,43.4,6.8,10.4,26.2,7.9,3.3,5.3,11.5,13.4
20.7,81.3,43.8,6.9,10.5,26.5,8.0,3.3,5.3,11.6,13.5
20.9,81.9,44.1,6.9,10.5,26.7,8.0,3.3,5.4,11.7,13.7
21.0,82.5,44.5,7.0,10.6,27.0,8.1,3.4,5.5,11.8,13.8
21.1,82.9,44.8,7.0,10.7,27.2,8.2,3.4,5.5,11.9,13.9
21.2,83.2,44.9,7.1,10.7,27.3,8.2,3.4,5.5,12.0,13.9
21.2,83.3,45.0,7.1,10.8,27.4,8.2,3.4,5.6,12.0,13.9
21.2,83.3,44.9,7.1,10.7,27.3,8.2,3.4,5.6,12.0,13.9
21.1,83.1,44.8,7.1,10.7,27.3,8.2,3.4,5.5,12.0,13.8
21.0,82.9,44.7,7.0,10.7,27.2,8.2,3.4,5.5,12.0,13.8
20.9,82.8,44.5,7.0,10.6,27.1,8.2,3.4,5.5,12.0,13.7
20.9,82.6,44.4,7.0,10.6,27.1,8.2,3.4,5.5,11.9,13.7
20.8,82.6,44.4,7.0,10.6,27.1,8.2,3.4,5.5,11.9,13.7
20.8,82.6,44.4,7.0,10.6,27.1,8.2,3.4,5.5,11.9,13.7
20.8,82.7,44.4,7.0,10.6,27.1,8.2,3.4,5.5,11.9,13.7
20.9,82.8,44.5,7.0,10.6,27.2,8.2,3.4,5.5,11.9,13.7
20.9,82.9,44.5,7.0,10.6,27.2,8.2,3.4,5.5,12.0,13.8
20.9,82.9,44.5,7.0,10.6,27.2,8.2,3.4,5.5,12.0,13.8
20.8,82.9,44.5,7.0,10.6,27.1,8.2,3.4,5.5,11.9,13.8
20.8,82.7,44.4,7.0,10.6,27.1,8.2,3.4,5.5,11.9,13.8
20.7,82.5,44.2,7.0,10.5,27.0,8.2,3.4,5.5,11.8,13.7
20.6,82.2,44.1,6.9,10.5,26.8,8.1,3.3,5.5,11.8,13.7
20.4,81.9,43.8,6.9,10.4,26.7,8.1,3.3,5.4,11.7,13.7
20.3,81.4,43.5,6.8,10.4,26.5,8.0,3.3,5.4,11.6,13.6
20.1,81.0,43.2,6.8,10.3,26.3,8.0,3.3,5.3,11.5,13.5
19.9,80.4,42.9,6.7,10.2,26.2,7.9,3.2,5.3,11.4,13.5
19.8,79.9,42.6,6.7,10.2,26.0,7.8,3.2,5.3,11.3,13.4
19.6,79.4,42.2,6.6,10.1,25.8,7.8,3.2,5.2,11.2,13.3
19.5,79.0,42.0,6.6,10.0,25.7,7.7,3.2,5.2,11.1,13.3
19.4,78.7,41.8,6.6,10.0,25.6,7.7,3.2,5.2,11.1,13.2
19.3,78.5,41.6,6.6,10.0,25.5,7.7,3.2,5.1,11.0,13.2
19.3,78.3,41.5,6.6,9.9,25.5,7.7,3.1,5.1,11.0,13.2
19.3,78.3,41.5,6.5,9.9,25.5,7.7,3.1,5.1,11.0,13.2
19.3,78.3,41.5,6.5,9.9,25.5,7.7,3.1,5.1,11.0,13.2
19.3,78.3,41.5,6.5,9.9,25.5,7.7,3.1,5.1,11.0,13.2
19.3,78.3,41.4,6.5,9.9,25.5,7.7,3.1,5.1,11.0,13.2
19.3,78.3,41.4,6.5,9.9,25.4,7.6,3.1,5.1,10.9,13.3
19.2,78.2,41.3,6.5,9.9,25.4,7.6,3.1,5.1,10.9,13.2
19.2,78.1,41.2,6.5,9.9,25.4,7.6,3.1,5.1,10.9,13.2
19.1,77.9,41.1,6.5,9.9,25.3,7.6,3.1,5.1,10.9,13.2
19.1,77.8,41.0,6.5,9.9,25.3,7.6,3.1,5.1,10.8,13.2
19.1,77.7,40.9,6.5,9.9,25.2,7.6,3.1,5.1,10.8,13.2
19.0,77.7,40.9,6.5,9.8,25.2,7.6,3.1,5.1,10.8,13.2
19.0,77.6,40.9,6.5,9.8,25.2,7.6,3.1,5.1,10.8,13.2
